# 1ee26687-3159-41df-8585-f3e356276160
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 33.8684422; -24.4770661; 1.9106827; -0.0415035; 11.9085700; 2.8315713
1.9796868; 31.9687217; -25.0650077; 1.8327710; -0.0367348; 12.3703390; 3.0247951
3.9593737; 30.0458623; -25.5099296; 1.7652348; -0.0318408; 12.8452941; 3.4322297
5.9390605; 28.0905169; -25.8341360; 1.7064411; -0.0274176; 13.3637967; 3.6731716
7.9187473; 26.1239844; -26.0512890; 1.6563801; -0.0235576; 13.8972846; 3.9260577
9.8984342; 24.1512455; -26.1764636; 1.6130376; -0.0202490; 14.4457347; 4.0958738
11.8781210; 22.1697377; -26.2221546; 1.5753556; -0.0180040; 14.9965444; 4.2336808
13.8578079; 20.1941533; -26.1973336; 1.5417679; -0.0161126; 15.5453874; 4.2295976
15.8374947; 18.2137949; -26.1086846; 1.5106246; -0.0153005; 16.0750000; 4.2006597
17.8171815; 16.2398592; -25.9602198; 1.4809616; -0.0149111; 16.5842578; 4.1228972
19.7968684; 14.2729001; -25.7536485; 1.4512948; -0.0150995; 17.0693204; 2.5479072
21.7765552; 12.3075735; -25.4873307; 1.4206129; -0.0159667; 17.3623102; 1.1540532
23.7562420; 10.3578261; -25.1600142; 1.3879322; -0.0172661; 17.4934028; -3.1651550
25.7359289; 8.4151618; -24.7647329; 1.3514051; -0.0196532; 17.1314655; -4.5827947
27.7156157; 6.4914073; -24.2944172; 1.3096449; -0.0226263; 16.5934359; -5.3924728
29.6953025; 4.5973144; -23.7405518; 1.2619860; -0.0257007; 15.9371045; -5.1779713
31.6749894; 2.7205503; -23.0847474; 1.2053016; -0.0316424; 15.2803723; -4.9591118
33.6546762; 0.9027760; -22.3186702; 1.1373336; -0.0352741; 14.6237752; -4.7396124
35.6343630; -0.8615135; -21.4279482; 1.0703406; -0.0319079; 13.9674229; -4.3681373
37.6140499; -2.5445806; -20.4316138; 0.9998740; -0.0391934; 13.3339347; -4.1292076
