# 97263abe-25d1-4c74-b6ec-a396d8b2d5de
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -4.8769717; 9.2221204; -2.5763922; 0.1737721; 13.8301298; 2.2510978
1.9951130; -4.0678779; 8.1580431; -2.4258127; 0.0797619; 14.1511441; 2.3027491
3.9902261; -2.7387565; 6.8127755; -2.3074038; 0.0509743; 14.4721584; 2.3544004
5.9853391; -0.8312660; 5.2674955; -2.2015088; 0.0371202; 14.7931728; 1.9464957
7.9804521; 0.9451021; 4.0676806; -2.1322773; 0.0261526; 15.0534022; 1.7280305
9.9755651; 2.5715315; 3.0945258; -2.0897793; 0.0195249; 15.2807117; 1.7539286
11.9706782; 4.3361364; 2.1290012; -2.0542209; 0.0162629; 15.5080212; 1.7798267
13.9657912; 6.1900820; 1.1939637; -2.0220458; 0.0150090; 15.7353307; 1.8057247
15.9609042; 8.0845335; 0.3122697; -1.9906287; 0.0153138; 15.9626402; 1.8316228
17.9560172; 9.9706560; -0.4932240; -1.9575263; 0.0172944; 16.1899497; 2.4139221
19.9511303; 11.9494362; -1.2550885; -1.9184380; 0.0193223; 16.4847374; 2.5664314
21.9462433; 13.8949953; -1.9156826; -1.8774048; 0.0204874; 16.7924748; 2.6138985
23.9413563; 15.7980551; -2.4755627; -1.8363661; 0.0207136; 17.1002121; 2.6613657
25.9364693; 17.6778904; -2.9469277; -1.7968671; 0.0198608; 17.4079495; 2.7088328
27.9315824; 19.5537761; -3.3419763; -1.7604531; 0.0179645; 17.7156868; 2.7306291
29.9266954; 21.4737818; -3.6771832; -1.7271894; 0.0168246; 18.0205823; 2.7543122
31.9218084; 23.4415254; -3.9537186; -1.6935745; 0.0170312; 18.3229833; 2.8001474
33.9169214; 25.4261195; -4.1642304; -1.6592574; 0.0173812; 18.6253842; 2.8459825
35.9120345; 27.4217445; -4.3060002; -1.6240135; 0.0178728; 18.9277851; 2.8918177
37.9071475; 29.4225809; -4.3763091; -1.5876183; 0.0185066; 19.2301861; 2.4919059
39.9022605; 31.4244257; -4.3724151; -1.5498554; 0.0191724; 19.4870040; 1.7772929
41.8973736; 33.4236154; -4.2917985; -1.5109483; 0.0197221; 19.6681246; 1.7937355
43.8924866; 35.4143084; -4.1327374; -1.4709851; 0.0203024; 19.8492452; 1.8101780
45.8875996; 37.3934243; -3.8935990; -1.4299110; 0.0209058; 20.0303658; 1.8266205
47.8827126; 39.3578827; -3.5727505; -1.3876823; 0.0215232; 20.2114864; 1.6572199
49.8778257; 41.2989387; -3.1698713; -1.3444415; 0.0219431; 20.3744169; 1.0448131
51.8729387; 43.2028670; -2.6882145; -1.3017351; 0.0214922; 20.4764720; 1.0500335
53.8680517; 45.0929961; -2.1241027; -1.2600338; 0.0207408; 20.5785271; 1.0552538
55.8631647; 46.9740419; -1.4775375; -1.2197442; 0.0197302; 20.6805821; 1.0604742
57.8582778; 48.8507205; -0.7485204; -1.1812177; 0.0185124; 20.7826372; 1.0537222
59.8533908; 50.7255636; 0.0619558; -1.1447828; 0.0170884; 20.8835485; 0.3975166
61.8485038; 52.4841244; 0.8923780; -1.1158687; 0.0127389; 20.9214909; 0.3982382
63.8436168; 54.2474231; 1.7796095; -1.0946568; 0.0088252; 20.9594332; 0.3989598
65.8387299; 56.0158379; 2.7086749; -1.0806612; 0.0052385; 20.9973756; 0.3996814
67.8338429; 57.7897473; 3.6645989; -1.0735309; 0.0018700; 21.0353179; 0.4004029
69.8289559; 59.5695295; 4.6324059; -1.0730522; -0.0013849; 21.0732603; 0.2562015
71.8240689; 61.4380877; 5.6420192; -1.0776443; -0.0008536; 21.0975022; 0.0736283
73.8191820; 63.3886384; 6.6929428; -1.0735016; 0.0047688; 21.1044638; 0.0736526
75.8142950; 65.2528747; 7.7228647; -1.0560074; 0.0122025; 21.1114254; 0.0736769
77.8094080; 66.9654726; 8.7269211; -1.0210956; 0.0242926; 21.1183870; 0.0737012
79.8045211; 68.4611081; 9.7002484; -0.9597873; 0.0477871; 21.1253487; 0.3910682
81.7996341; 69.9065174; 10.8445472; -0.8270154; 0.0962274; 21.1622496; 0.8721773
83.7947471; 71.1866234; 12.2995529; -0.6096603; 0.1139161; 21.2443167; 0.8755531
85.7898601; 72.1106647; 13.9151485; -0.4497509; 0.0510234; 21.3263838; 0.9190616
87.7849732; 72.9349214; 15.7591067; -0.4085000; 0.0016755; 21.4121907; 1.1220861
89.7800862; 73.6219351; 17.3524524; -0.4057114; 0.0015691; 21.5164887; 1.1275384
91.7751992; 74.3816556; 19.1285468; -0.4026710; 0.0015963; 21.6207867; 1.1329908
93.7703122; 75.1934842; 21.0434981; -0.3992330; 0.0017247; 21.7250848; 1.1384432
95.7654253; 76.0368221; 23.0534147; -0.3952385; 0.0019585; 21.8293828; 1.1559331
97.7605383; 76.8423304; 24.9966162; -0.3900847; 0.0037775; 21.9347758; 1.1748510
99.7556513; 77.5870860; 26.8333855; -0.3792227; 0.0071675; 22.0413772; 1.1805469
101.7507643; 78.3099841; 28.6918984; -0.3615773; 0.0105274; 22.1479787; 1.1862427
103.7458774; 78.9961553; 30.5721769; -0.3371186; 0.0139194; 22.2545801; 1.1919386
105.7409904; 79.6307301; 32.4742429; -0.3057482; 0.0173826; 22.3611815; 1.2962559
107.7361034; 80.1990190; 34.3987362; -0.2674302; 0.0201590; 22.4765387; 1.9046533
109.7312165; 80.6919056; 36.3470895; -0.2287210; 0.0183800; 22.6449728; 1.9188730
111.7263295; 81.1118294; 38.3091103; -0.1935242; 0.0167209; 22.8134068; 1.9330928
113.7214425; 81.4645952; 40.2775628; -0.1616447; 0.0151778; 22.9818408; 1.9473125
115.7165555; 81.7560074; 42.2452116; -0.1328977; 0.0137404; 23.1502748; 1.9615323
117.7116686; 81.9918708; 44.2048210; -0.1071177; 0.0123933; 23.3187088; 3.0959733
119.7067816; 82.1835712; 46.2182030; -0.0830137; 0.0115127; 23.5821079; 3.3801399
121.7018946; 82.3280051; 48.2293971; -0.0606639; 0.0106385; 23.8663641; 3.4206396
123.6970076; 82.4285283; 50.2241242; -0.0403594; 0.0096785; 24.1506203; 3.4611394
125.6921207; 82.4901237; 52.2032459; -0.0222080; 0.0086418; 24.4348765; 3.5016391
127.6872337; 82.5177744; 54.1676239; -0.0063041; 0.0075366; 24.7191327; 4.0509234
129.6823467; 82.5160234; 56.1646494; 0.0077613; 0.0066124; 25.0439538; 4.3067205
131.6774597; 82.4877985; 58.1675827; 0.0201216; 0.0057173; 25.3847279; 4.3649262
133.6725728; 82.4369365; 60.1609374; 0.0305827; 0.0047663; 25.7255019; 4.4231319
135.6676858; 82.3673861; 62.1476143; 0.0390762; 0.0037724; 26.0662760; 4.4813376
137.6627988; 82.2830956; 64.1305141; 0.0455514; 0.0027488; 26.4070501; -1.1331947
139.6579118; 82.1874042; 66.1127570; 0.0511338; 0.0032038; 26.3212954; -2.7095038
141.6530249; 82.0789761; 68.0965599; 0.0583548; 0.0040608; 26.1151117; -2.6881959
143.6481379; 81.9542452; 70.0840539; 0.0672709; 0.0048875; 25.9089280; -2.6668879
145.6432509; 81.8096288; 72.0774465; 0.0778332; 0.0056740; 25.7027443; -2.6455800
147.6383640; 81.6415438; 74.0789449; 0.0899795; 0.0064109; 25.4965606; -7.6880797
149.6334770; 81.4515501; 76.0433542; 0.1029024; 0.0066037; 24.8876963; -8.4149926
151.6285900; 81.2354878; 78.0093151; 0.1160506; 0.0066898; 24.2037126; -8.1805028
153.6237030; 80.9916644; 79.9858719; 0.1294491; 0.0067634; 23.5197289; -7.9460130
155.6188161; 80.7191792; 81.9733066; 0.1430802; 0.0068244; 22.8357452; -7.7115232
157.6139291; 80.4171321; 83.9719011; 0.1569255; 0.0068728; 22.1517616; -8.2052345
159.6090421; 80.0920275; 85.9348768; 0.1720292; 0.0087468; 21.3999953; -8.1377185
161.6041551; 79.7332359; 87.8896208; 0.1918353; 0.0111850; 20.6273717; -7.8385138
163.5992682; 79.3292674; 89.8441334; 0.2166155; 0.0136518; 19.8547481; -7.5393090
165.5943812; 78.8708690; 91.7921502; 0.2464448; 0.0161660; 19.0821245; -7.2401043
167.5894942; 78.3487881; 93.7274070; 0.2814136; 0.0187308; 18.3095008; -5.4068032
169.5846072; 77.7583322; 95.6307756; 0.3205607; 0.0198715; 17.7105464; -3.8915249
171.5797203; 77.0964410; 97.5006690; 0.3597933; 0.0196747; 17.2665975; -3.7927382
173.5748333; 76.3601659; 99.3479281; 0.3986833; 0.0194283; 16.8226486; -3.6939515
175.5699463; 75.5501168; 101.1717548; 0.4371733; 0.0191367; 16.3786998; -3.5951648
177.5650593; 74.6669036; 102.9713512; 0.4752110; 0.0188044; 15.9347509; -3.5556106
179.5601724; 73.6918681; 104.7800992; 0.5135273; 0.0186692; 15.4831714; -3.6528362
181.5552854; 72.5779970; 106.6618746; 0.5561224; 0.0206766; 15.0050976; -3.5382790
