# 67afec91-b2ca-4baa-9145-e57edb90869a
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 3.6949793; 1.1523705; -0.8679768; 0.2000641; 5.3120792; 0.3563795
0.0999216; 3.7706303; 1.2176469; -0.8506875; 0.1461295; 5.3187786; 0.3439023
0.1998432; 3.8452511; 1.2840989; -0.8356400; 0.1549777; 5.3252354; 0.3318619
0.2997647; 3.9188533; 1.3516775; -0.8205770; 0.1465706; 5.3314588; 0.3202430
0.3996863; 3.9914525; 1.4203324; -0.8061113; 0.1430860; 5.3374574; 0.3090310
0.4996079; 4.0630331; 1.4900487; -0.7907006; 0.1648505; 5.3432395; 0.2982115
0.5995295; 4.1335444; 1.5608463; -0.7769504; 0.1112137; 5.3488134; 0.2877708
0.6994511; 4.2031590; 1.6325260; -0.7640093; 0.1472804; 5.3541865; 0.2776956
0.7993726; 4.2717575; 1.7051790; -0.7494438; 0.1438079; 5.3593665; 0.2679732
0.8992942; 4.3393574; 1.7787614; -0.7374450; 0.0978512; 5.3643603; 0.2585912
0.9992158; 4.4061137; 1.8531107; -0.7249173; 0.1510819; 5.3691749; 0.2495376
1.0991374; 4.4718615; 1.9283535; -0.7121764; 0.1052365; 5.3738169; 0.2408010
1.1990590; 4.5367400; 2.0043464; -0.7008972; 0.1198298; 5.3782925; 0.2323703
1.2989805; 4.6007385; 2.0810827; -0.6895960; 0.1068497; 5.3826079; 0.2242348
1.3989021; 4.6638925; 2.1585149; -0.6786977; 0.1110270; 5.3867689; 0.2163841
1.4988237; 4.7261943; 2.2366352; -0.6678158; 0.1066351; 5.3907812; 0.2088083
1.5987453; 4.7876667; 2.3154095; -0.6576479; 0.0969112; 5.3946502; 0.2014977
1.6986669; 4.8483725; 2.3947754; -0.6484253; 0.0883124; 5.3983812; 0.1944430
1.7985884; 4.9083542; 2.4746909; -0.6391490; 0.0966296; 5.4019790; 0.1876354
1.8985100; 4.9675840; 2.5551654; -0.6299837; 0.0870350; 5.4054486; 0.1810660
1.9984316; 5.0261062; 2.6361554; -0.6215533; 0.0818383; 5.4087947; 0.1747267
2.0983532; 5.0839597; 2.7176244; -0.6134563; 0.0798077; 5.4120216; 0.1686094
2.1982748; 5.1411731; 2.7995433; -0.6060556; 0.0703368; 5.4151337; 0.1627062
2.2981963; 5.1977619; 2.8818991; -0.5975127; 0.0959618; 5.4181352; 0.1570097
2.3981179; 5.2536635; 2.9647173; -0.5909837; 0.0413074; 5.4210300; 0.1515126
2.4980395; 5.3090845; 3.0478615; -0.5839154; 0.0929617; 5.4238220; 0.1462080
2.5979611; 5.3638739; 3.1314222; -0.5778714; 0.0351863; 5.4265149; 0.1410891
2.6978827; 5.4182336; 3.2152626; -0.5717254; 0.0810704; 5.4291122; 0.1361494
2.7978042; 5.4720338; 3.2994648; -0.5662620; 0.0341690; 5.4316174; 0.1313827
2.8977258; 5.5254446; 3.3839119; -0.5610738; 0.0650488; 5.4340338; 0.1267828
2.9976474; 5.5783817; 3.4686601; -0.5561111; 0.0372551; 5.4363646; 0.1223440
3.0975690; 5.6309549; 3.5536295; -0.5518781; 0.0470131; 5.4386129; 0.1180606
3.1974906; 5.6831383; 3.6388482; -0.5469481; 0.0487340; 5.4407815; 0.1139272
3.2974121; 5.7349449; 3.7242843; -0.5438063; 0.0191544; 5.4428734; 0.1099385
3.3973337; 5.7865193; 3.8098667; -0.5404094; 0.0459730; 5.4448913; 0.1060894
3.4972553; 5.8377417; 3.8956685; -0.5360838; 0.0383097; 5.4468379; 0.1023751
3.5971769; 5.8886605; 3.9816352; -0.5339601; 0.0092445; 5.4487156; 0.0987908
3.6970985; 5.9394370; 4.0676934; -0.5317163; 0.0324630; 5.4505270; 0.0953321
3.7970200; 5.9899762; 4.1538960; -0.5290055; 0.0222501; 5.4522744; 0.0919944
3.8969416; 6.0403153; 4.2402085; -0.5270672; 0.0168147; 5.4539601; 0.0887736
3.9968632; 6.0905073; 4.3266097; -0.5255154; 0.0141209; 5.4555862; 0.0856655
4.0967848; 6.1405785; 4.4130804; -0.5243037; 0.0101102; 5.4571550; 0.0826663
4.1967063; 6.1905626; 4.4996013; -0.5235040; 0.0061659; 5.4586684; 0.0797720
4.2966279; 6.2404908; 4.5861559; -0.5229546; 0.0039685; 5.4601285; 0.0769791
4.3965495; 6.2903936; 4.6727227; -0.5230880; -0.0054387; 5.4615370; 0.0742840
4.4964711; 6.3403301; 4.7592708; -0.5235171; -0.0036985; 5.4628959; 0.0716833
4.5963927; 6.3903055; 4.8457983; -0.5240666; -0.0074102; 5.4642069; 0.0691735
4.6963142; 6.4403455; 4.9322866; -0.5250451; -0.0120470; 5.4654717; 0.0667517
4.7962358; 6.4904883; 5.0187159; -0.5264184; -0.0154664; 5.4666920; 0.0644147
4.8961574; 6.5407649; 5.1050674; -0.5281483; -0.0191533; 5.4678692; 0.0621594
4.9960790; 6.5912067; 5.1913225; -0.5302433; -0.0227786; 5.4690050; 0.0599832
5.0960006; 6.6418446; 5.2774626; -0.5327004; -0.0264010; 5.4701009; 0.0578831
5.1959221; 6.6927095; 5.3634689; -0.5355191; -0.0300163; 5.4711581; 0.0558565
5.2958437; 6.7438322; 5.4493222; -0.5386985; -0.0336213; 5.4721781; 0.0539009
5.3957653; 6.7952430; 5.5350032; -0.5422378; -0.0372180; 5.4731623; 0.0520138
5.4956869; 6.8469721; 5.6204925; -0.5461359; -0.0408052; 5.4741118; 0.0501928
5.5956085; 6.8990493; 5.7057701; -0.5503921; -0.0443834; 5.4750279; 0.0484355
5.6955300; 6.9515042; 5.7908160; -0.5550053; -0.0479526; 5.4759118; 0.0467397
5.7954516; 7.0043660; 5.8756095; -0.5599747; -0.0515131; 5.4767646; 0.0451033
5.8953732; 7.0576634; 5.9601298; -0.5652995; -0.0550653; 5.4775874; 0.0435242
5.9952948; 7.1114252; 6.0443556; -0.5709788; -0.0586097; 5.4783813; 0.0420003
6.0952164; 7.1656792; 6.1282651; -0.5770120; -0.0621470; 5.4791473; 0.0405299
6.1951379; 7.2204532; 6.2118360; -0.5833982; -0.0656779; 5.4798864; 0.0391109
6.2950595; 7.2757745; 6.2950457; -0.5901370; -0.0692031; 5.4805995; 0.0377415
6.3949811; 7.3316698; 6.3778709; -0.5972278; -0.0727246; 5.4812876; 0.0364202
6.4949027; 7.3881655; 6.4602876; -0.6046702; -0.0762407; 5.4819515; 0.0351451
6.5948243; 7.4452874; 6.5422716; -0.6124643; -0.0797623; 5.4825920; 0.0339146
6.6947458; 7.5030609; 6.6237977; -0.6206087; -0.0832606; 5.4832101; 0.0327272
6.7946674; 7.5615107; 6.7048403; -0.6291076; -0.0868313; 5.4838065; 0.0315814
6.8945890; 7.6206611; 6.7853729; -0.6379492; -0.0901948; 5.4843819; 0.0304757
6.9945106; 7.6805357; 6.8653684; -0.6471665; -0.0941630; 5.4849371; 0.0294087
7.0944322; 7.7411581; 6.9447989; -0.6566770; -0.0965127; 5.4854728; 0.0283791
7.1943537; 7.8025490; 7.0236364; -0.6666793; -0.1030247; 5.4859898; 0.0273855
7.2942753; 7.8647360; 7.1018483; -0.6767494; -0.0995260; 5.4864885; 0.0264267
7.3941969; 7.9277171; 7.1794209; -0.6873899; -0.1120590; 5.4869698; 0.0255015
7.4941185; 7.9915334; 7.2563094; -0.6979022; -0.1000114; 5.4874342; 0.0246086
7.5940401; 8.0561532; 7.3325231; -0.7089767; -0.1205874; 5.4878823; 0.0237471
7.6939616; 8.1216587; 7.4079758; -0.7208608; -0.1176891; 5.4883146; 0.0229157
7.7938832; 8.1880587; 7.4826435; -0.7329681; -0.1238013; 5.4887318; 0.0221134
7.8938048; 8.2553545; 7.5565055; -0.7446268; -0.1112130; 5.4891344; 0.0213391
