# be1dc424-45fd-4649-92a4-e1f8da337da0
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 3.9941455; -0.1203771; -1.4844864; 0.0885280; 5.4989453; 0.0024529
0.0499980; 4.0439484; -0.1159651; -1.4805579; 0.0686235; 5.4989676; 0.0024099
0.0999959; 4.0937336; -0.1113581; -1.4761625; 0.1071944; 5.4989895; 0.0023677
0.1499939; 4.1434928; -0.1064793; -1.4695398; 0.1576546; 5.4990110; 0.0023262
0.1999918; 4.1932166; -0.1012508; -1.4629526; 0.1059463; 5.4990321; 0.0022855
0.2499898; 4.2429079; -0.0957230; -1.4567673; 0.1413254; 5.4990529; 0.0022454
0.2999877; 4.2925637; -0.0898841; -1.4512356; 0.0801574; 5.4990733; 0.0022061
0.3499857; 4.3421909; -0.0838071; -1.4463843; 0.1139318; 5.4990934; 0.0021674
0.3999836; 4.3917815; -0.0774382; -1.4392776; 0.1700544; 5.4991131; 0.0021295
0.4499816; 4.4413212; -0.0706857; -1.4316773; 0.1341355; 5.4991325; 0.0020922
0.4999796; 4.4908124; -0.0635859; -1.4249371; 0.1355240; 5.4991515; 0.0020555
0.5499775; 4.5402536; -0.0561457; -1.4178019; 0.1497794; 5.4991702; 0.0020195
0.5999755; 4.5896391; -0.0483448; -1.4105399; 0.1408670; 5.4991885; 0.0019841
0.6499734; 4.6389668; -0.0401863; -1.4030979; 0.1566546; 5.4992066; 0.0019494
0.6999714; 4.6882308; -0.0316516; -1.3954840; 0.1481081; 5.4992243; 0.0019152
0.7499693; 4.7374284; -0.0227422; -1.3876679; 0.1642888; 5.4992417; 0.0018817
0.7999673; 4.7865536; -0.0134415; -1.3798224; 0.1503083; 5.4992588; 0.0018487
0.8499652; 4.8356010; -0.0037395; -1.3706413; 0.2156605; 5.4992756; 0.0018163
0.8999632; 4.8845512; 0.0064419; -1.3612819; 0.1593495; 5.4992921; 0.0017845
0.9499611; 4.9334143; 0.0170330; -1.3534639; 0.1536210; 5.4993084; 0.0017532
0.9999591; 4.9821928; 0.0280076; -1.3453884; 0.1698635; 5.4993243; 0.0017225
1.0499571; 5.0308731; 0.0394097; -1.3356333; 0.2193230; 5.4993400; 0.0016923
1.0999550; 5.0794323; 0.0513170; -1.3252024; 0.1981688; 5.4993554; 0.0016627
1.1499530; 5.1278697; 0.0637098; -1.3155013; 0.1902599; 5.4993705; 0.0016336
1.1999509; 5.1761847; 0.0765721; -1.3055927; 0.2057120; 5.4993853; 0.0016050
1.2499489; 5.2243672; 0.0899219; -1.2954842; 0.1990059; 5.4993999; 0.0015768
1.2999468; 5.2724124; 0.1037579; -1.2852235; 0.2111467; 5.4994143; 0.0015492
1.3499448; 5.3203106; 0.1180946; -1.2747314; 0.2086934; 5.4994283; 0.0015221
1.3999427; 5.3680557; 0.1329326; -1.2642014; 0.2127467; 5.4994422; 0.0014954
1.4499407; 5.4156390; 0.1482819; -1.2531918; 0.2274814; 5.4994558; -0.1784827
1.4999387; 5.4630457; 0.1641681; -1.2416560; 0.2344470; 5.4978329; -0.3818384
1.5499366; 5.5102602; 0.1806171; -1.2292260; 0.2608467; 5.4943593; -1.1631499
1.5999346; 5.5572673; 0.1976491; -1.2176085; 0.2065068; 5.4837646; 0.0316619
1.6499325; 5.6040809; 0.2152061; -1.2059175; 0.2593028; 5.4840532; -1.0673835
1.6999305; 5.6506736; 0.2333414; -1.1934743; 0.2395338; 5.4743133; -0.4285689
1.7499284; 5.6970396; 0.2520486; -1.1809506; 0.2611109; 5.4703977; -1.0564941
1.7999264; 5.7431592; 0.2713551; -1.1676566; 0.2706260; 5.4607331; -1.2941372
1.8499243; 5.7890137; 0.2912830; -1.1539429; 0.2762977; 5.4488712; -1.4048402
1.8999223; 5.8345987; 0.3118200; -1.1415500; 0.2230517; 5.4359653; 0.1231046
1.9499203; 5.8799296; 0.3329120; -1.1283784; 0.3014763; 5.4370975; -2.0913044
1.9999182; 5.9249521; 0.3546542; -1.1135002; 0.2942150; 5.4178323; -1.7784812
2.0499162; 5.9696466; 0.3770629; -1.0985064; 0.3039023; 5.4013948; -1.9776290
2.0999141; 6.0140066; 0.4001268; -1.0845875; 0.2553150; 5.3830578; -0.4749574
2.1499121; 6.0580521; 0.4237858; -1.0708243; 0.2955286; 5.3786446; -1.6178811
2.1999100; 6.1017411; 0.4480967; -1.0547785; 0.3447935; 5.3635842; -2.9589831
2.2499080; 6.1450157; 0.4731376; -1.0377288; 0.3355898; 5.3359301; -2.5430753
2.2999059; 6.1878765; 0.4988807; -1.0226898; 0.2696989; 5.3120479; -0.5538846
2.3499039; 6.2303579; 0.5252449; -1.0074552; 0.3376030; 5.3068321; -2.4415921
