# 04f091d8-9072-4db4-8bcd-d20f1365325f
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 3.3599392; 1.3442491; -0.8225435; 0.1783735; 5.2888686; 0.3994865
0.0999368; 3.4325882; 1.4128731; -0.8054687; 0.1633472; 5.2964118; 0.3854979
0.1998737; 3.5040618; 1.4827204; -0.7879398; 0.1874879; 5.3036807; 0.3719992
0.2998105; 3.5742878; 1.5538220; -0.7711021; 0.1494020; 5.3106856; 0.3589731
0.3997473; 3.6433461; 1.6260582; -0.7539827; 0.1933884; 5.3174365; 0.3464032
0.4996841; 3.7111264; 1.6994951; -0.7378033; 0.1301007; 5.3239429; 0.3342734
0.5996210; 3.7778158; 1.7739244; -0.7226948; 0.1726598; 5.3302139; 0.3225683
0.6995578; 3.8433027; 1.8494137; -0.7069508; 0.1420954; 5.3362583; 0.3112731
0.7994946; 3.9076583; 1.9258698; -0.6922125; 0.1530825; 5.3420846; 0.3003735
0.8994314; 3.9708735; 2.0032716; -0.6777842; 0.1355009; 5.3477009; 0.2898555
0.9993683; 4.0329960; 2.0815531; -0.6636305; 0.1479580; 5.3531149; 0.2797058
1.0993051; 4.0939987; 2.1607105; -0.6499058; 0.1264611; 5.3583342; 0.2699115
1.1992419; 4.1539554; 2.2406631; -0.6368109; 0.1358581; 5.3633659; 0.2604601
1.2991787; 4.2128497; 2.3214015; -0.6238241; 0.1238562; 5.3682169; 0.2513398
1.3991156; 4.2707276; 2.4028717; -0.6115890; 0.1210910; 5.3728939; 0.2425388
1.4990524; 4.3276222; 2.4850317; -0.5998684; 0.1134225; 5.3774033; 0.2340459
1.5989892; 4.3835769; 2.5678346; -0.5887404; 0.1093177; 5.3817512; 0.2258505
1.6989260; 4.4386015; 2.6512586; -0.5772066; 0.1216888; 5.3859435; 0.2179420
1.7988629; 4.4926823; 2.7352976; -0.5671211; 0.0795205; 5.3899859; 0.2103104
1.8987997; 4.5459775; 2.8198370; -0.5571390; 0.1212527; 5.3938839; 0.2029461
1.9987365; 4.5983430; 2.9049553; -0.5464055; 0.0926856; 5.3976427; 0.1958397
2.0986734; 4.6499070; 2.9905617; -0.5382273; 0.0710747; 5.4012675; 0.1889821
2.1986102; 4.7007819; 3.0765794; -0.5293797; 0.1067329; 5.4047630; 0.1823646
2.2985470; 4.7508254; 3.1630835; -0.5200206; 0.0797318; 5.4081339; 0.1759789
2.3984838; 4.8001594; 3.2499943; -0.5127901; 0.0651428; 5.4113849; 0.1698167
2.4984207; 4.8488732; 3.3372541; -0.5051408; 0.0884653; 5.4145201; 0.1638703
2.5983575; 4.8968847; 3.4249024; -0.4975724; 0.0622966; 5.4175439; 0.1581322
2.6982943; 4.9443061; 3.5128714; -0.4911817; 0.0660337; 5.4204601; 0.1525950
2.7982311; 4.9911541; 3.6011471; -0.4846590; 0.0644214; 5.4232728; 0.1472516
2.8981680; 5.0374439; 3.6897168; -0.4786836; 0.0550479; 5.4259856; 0.1420954
2.9981048; 5.0832299; 3.7785480; -0.4731153; 0.0565525; 5.4286021; 0.1371197
3.0980416; 5.1285256; 3.8676303; -0.4678040; 0.0496117; 5.4311258; 0.1323183
3.1979784; 5.1733711; 3.9569400; -0.4629306; 0.0480009; 5.4335600; 0.1276850
3.2979153; 5.2177899; 4.0464628; -0.4582801; 0.0450464; 5.4359079; 0.1232139
3.3978521; 5.2618235; 4.1361757; -0.4545513; 0.0293751; 5.4381727; 0.1188994
3.4977889; 5.3055690; 4.2260293; -0.4515757; 0.0304447; 5.4403572; 0.1147360
3.5977257; 5.3490400; 4.3160162; -0.4484341; 0.0324414; 5.4424645; 0.1107183
3.6976626; 5.3922465; 4.4061304; -0.4460196; 0.0155645; 5.4444972; 0.1068414
3.7975994; 5.4352666; 4.4963337; -0.4437641; 0.0301053; 5.4464579; 0.1031002
3.8975362; 5.4780734; 4.5866384; -0.4419690; 0.0051390; 5.4483494; 0.0994900
3.9974730; 5.5207776; 4.6769916; -0.4408402; 0.0181163; 5.4501740; 0.0960062
4.0974099; 5.5633524; 4.7674061; -0.4395000; 0.0082957; 5.4519341; 0.0926444
4.1973467; 5.6058667; 4.8578488; -0.4396767; -0.0120119; 5.4536321; 0.0894003
4.2972835; 5.6484141; 4.9482760; -0.4393474; 0.0195493; 5.4552701; 0.0862699
4.3972204; 5.6908875; 5.0387383; -0.4392398; -0.0187256; 5.4568503; 0.0832490
4.4971572; 5.7334673; 5.1291500; -0.4409697; -0.0150569; 5.4583747; 0.0803339
4.5970940; 5.7761701; 5.2195040; -0.4418059; -0.0015022; 5.4598453; 0.0775209
4.6970308; 5.8189274; 5.3098324; -0.4426522; -0.0160067; 5.4612640; 0.0748064
4.7969677; 5.8618289; 5.4000921; -0.4450055; -0.0310863; 5.4626328; 0.0721870
4.8969045; 5.9049736; 5.4902358; -0.4476050; -0.0203876; 5.4639533; 0.0696592
4.9968413; 5.9483345; 5.5802758; -0.4501897; -0.0318385; 5.4652272; 0.0672200
5.0967781; 5.9919646; 5.6701856; -0.4533871; -0.0318787; 5.4664562; 0.0648662
5.1967150; 6.0358883; 5.7599523; -0.4568169; -0.0368826; 5.4676420; 0.0625948
5.2966518; 6.0801402; 5.8495578; -0.4606736; -0.0402585; 5.4687860; 0.0604030
5.3965886; 6.1247527; 5.9389841; -0.4648817; -0.0439658; 5.4698896; 0.0582879
5.4965254; 6.1697541; 6.0282155; -0.4693338; -0.0450677; 5.4709545; 0.0562469
5.5964623; 6.2151783; 6.1172323; -0.4746332; -0.0613890; 5.4719818; 0.0542773
5.6963991; 6.2611241; 6.2059808; -0.4807833; -0.0612309; 5.4729730; 0.0523767
5.7963359; 6.3075886; 6.2944591; -0.4860485; -0.0436785; 5.4739294; 0.0505427
5.8962727; 6.3545096; 6.3826962; -0.4919881; -0.0766381; 5.4748520; 0.0487728
5.9962096; 6.4020481; 6.4706017; -0.4993722; -0.0699334; 5.4757422; 0.0470650
6.0961464; 6.4502001; 6.5581730; -0.5059691; -0.0620976; 5.4766011; 0.0454169
6.1960832; 6.4989329; 6.6454224; -0.5131444; -0.0823561; 5.4774299; 0.0438266
6.2960201; 6.5483442; 6.7322891; -0.5210778; -0.0755399; 5.4782294; 0.0422919
6.3959569; 6.5984299; 6.8187689; -0.5289613; -0.0827075; 5.4790009; 0.0408110
6.4958937; 6.6492441; 6.9048224; -0.5381645; -0.1018430; 5.4797452; 0.0393820
6.5958305; 6.7008619; 6.9903964; -0.5467960; -0.0691721; 5.4804634; 0.0380030
6.6957674; 6.7531618; 7.0755553; -0.5553315; -0.1039802; 5.4811563; 0.0366722
6.7957042; 6.8062934; 7.1601975; -0.5657360; -0.1029332; 5.4818249; 0.0353881
6.8956410; 6.8602829; 7.2442953; -0.5755303; -0.0928101; 5.4824700; 0.0341489
6.9955778; 6.9150904; 7.3278621; -0.5857892; -0.1135969; 5.4830925; 0.0329532
7.0955147; 6.9708116; 7.4108224; -0.5970605; -0.1111026; 5.4836931; 0.0317993
