# 3a46f6dd-420d-427e-980e-06151caa69ea
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 7.6488793; -5.9097358; 1.5046628; -0.0105773; 18.0270962; 4.2111996
1.9797078; 5.6681915; -5.7565860; 1.4820713; -0.0121543; 18.4837790; 4.0442250
3.9594156; 3.7015497; -5.5568192; 1.4565822; -0.0136091; 18.9119764; 3.7504327
5.9391234; 1.7405462; -5.3041570; 1.4282641; -0.0150394; 19.3005796; 3.1982526
7.9188311; -0.2163941; -4.9926115; 1.3971572; -0.0163254; 19.6258907; 2.9580027
9.8985389; -2.1579624; -4.6188703; 1.3637569; -0.0173183; 19.9220367; 2.5952105
11.8782467; -4.0874060; -4.1785885; 1.3289758; -0.0178052; 20.1782820; 0.0689088
13.8579545; -5.9990432; -3.6709323; 1.2933402; -0.0182088; 20.1850416; -1.3257424
15.8376623; -7.8916723; -3.0946798; 1.2570663; -0.0184636; 20.0545939; -3.3127326
17.8173701; -9.7626636; -2.4494724; 1.2203181; -0.0186242; 19.7248638; -3.8812220
19.7970778; -11.6043324; -1.7375656; 1.1835617; -0.0185788; 19.3313963; -4.0380869
21.7767856; -13.4255377; -0.9555757; 1.1469834; -0.0182236; 18.9133397; -3.9874829
23.7564934; -15.2074443; -0.1136513; 1.1122636; -0.0168796; 18.4912497; -4.0011631
25.7362012; -16.9639516; 0.7893830; 1.0792779; -0.0177131; 18.0577974; -3.9873826
27.7159090; -18.7026279; 1.7622394; 1.0410867; -0.0205877; 17.6152305; -4.1038087
29.6956168; -20.3852587; 2.7959699; 0.9978037; -0.0233232; 17.1478179; -4.0468156
31.6753245; -22.0313106; 3.9156077; 0.9480018; -0.0267441; 16.6740707; -4.1060807
33.6550323; -23.6096128; 5.1162078; 0.8918790; -0.0300622; 16.1792137; -4.0074140
35.6347401; -25.1156846; 6.4112161; 0.8279772; -0.0339842; 15.6811970; -3.9326718
37.6144479; -26.5291210; 7.8033404; 0.7565105; -0.0385420; 15.1765891; -3.8555695
39.5941557; -27.8426906; 9.3128697; 0.6745937; -0.0421866; 14.6650283; -3.7574227
41.5738635; -28.9913370; 10.8806863; 0.5882358; -0.0477211; 14.1487051; -3.7455928
43.5535713; -30.0363688; 12.6230647; 0.4927207; -0.0466136; 13.6145326; -3.6788407
45.5332790; -30.8953501; 14.4192305; 0.4000581; -0.0440730; 13.0686433; -3.6400653
47.5129868; -31.5807459; 16.2262327; 0.3276867; -0.0357361; 12.5050752; -3.4689858
49.4926946; -32.1389017; 18.0602428; 0.2574157; -0.0508246; 11.9432722; -3.1790062
51.4724024; -32.5340173; 19.9809235; 0.1435074; -0.0662009; 11.4041547; -2.3212391
53.4521102; -32.6805929; 21.9727919; 0.0016444; -0.0706966; 10.9938161; -1.1528382
55.4318180; -32.5448015; 23.9795231; -0.1352397; -0.0660361; 10.7842212; -0.7173025
57.4115257; -32.1633066; 25.8921646; -0.2559880; -0.0586715; 10.6517289; -0.6746119
59.3912335; -31.5425870; 27.8029721; -0.3715280; -0.0563923; 10.5256002; -0.6473267
61.3709413; -30.7197536; 29.6080246; -0.4848089; -0.0591755; 10.4031353; 0.5703461
63.3506491; -29.6731506; 31.3294673; -0.6077851; -0.0603800; 10.5111114; 1.3502540
65.3303569; -28.4689858; 32.8575143; -0.7289656; -0.0665443; 10.7624197; 1.3732952
67.3100647; -26.9888679; 34.3026073; -0.8674626; -0.0729948; 11.0121354; 1.5529951
69.2897725; -25.3828434; 35.4449932; -1.0396081; -0.0596297; 11.2878731; 1.9472628
71.2694802; -23.8787671; 36.4175156; -0.9313025; -0.0089902; 11.6243753; 1.8272197
73.2491880; -22.2764470; 37.5169407; -1.0197419; -0.0592070; 11.9315055; 1.8127189
75.2288958; -20.4596792; 38.4815624; -1.1450531; -0.0570787; 12.2285784; 1.8755906
77.2086036; -18.5929191; 39.2057076; -1.2565788; -0.0572333; 12.5285423; 2.0731786
79.1883114; -16.6537113; 39.7135729; -1.3705201; -0.0526935; 12.8519628; 2.1849913
81.1680192; -14.6897511; 40.0102944; -1.4696571; -0.0480996; 13.1842420; 2.5282647
83.1477269; -12.6916338; 40.1211702; -1.5582601; -0.0401150; 13.5585651; 2.6765603
85.1274347; -10.7228983; 40.0729431; -1.6299141; -0.0327895; 13.9438984; 3.0271784
87.1071425; -8.7364432; 39.8952192; -1.6873539; -0.0244010; 14.3672600; 3.2746760
89.0868503; -6.7827396; 39.6241547; -1.7285629; -0.0199144; 14.8116158; 3.5198690
91.0665581; -4.8536156; 39.2791262; -1.7664688; -0.0183198; 15.2748351; 3.7893674
93.0462659; -2.9172927; 38.8597236; -1.8011422; -0.0165456; 15.7583079; 3.9463017
95.0259736; -1.0008076; 38.3786364; -1.8315872; -0.0142825; 16.2465170; 4.1039974
97.0056814; 0.9065096; 37.8421187; -1.8576941; -0.0121142; 16.7391382; 4.2420387
98.9853892; 2.7954890; 37.2608441; -1.8805888; -0.0110341; 17.2335353; 4.3293901
100.9650970; 4.6730840; 36.6379060; -1.9013889; -0.0100938; 17.7238990; 4.4162193
102.9448048; 6.5436755; 35.9754409; -1.9206939; -0.0093775; 18.2104981; 4.3983291
