# 4b3335ef-85ec-4230-bc25-c87367ca6bb6
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 12.4865521; 2.7931696; 0.7691831; -0.0298087; 14.4762458; -3.7370293
1.9908495; 11.0721097; 4.3530053; 0.7033776; -0.0311658; 13.9528480; -3.6178584
3.9816990; 9.9027677; 5.8095181; 0.6520595; -0.0288148; 13.4267176; -3.6100588
5.9725484; 8.8023283; 7.3877542; 0.5537273; -0.0650890; 12.8803174; -3.3545031
7.9633979; 7.8782580; 9.1155382; 0.4311631; -0.0597240; 12.3509496; -3.0526069
9.9542474; 7.1787053; 10.8981274; 0.3168051; -0.0596128; 11.8486875; -2.8284512
11.9450969; 6.6386026; 12.9911155; 0.1886143; -0.0582948; 11.3635097; -0.5455027
13.9359464; 6.3804378; 14.8800977; 0.0850531; -0.0518450; 11.2675342; -0.5408759
15.9267959; 6.3137934; 16.8920239; -0.0190744; -0.0525452; 11.1715586; -0.3603252
17.9176453; 6.4677905; 18.9449594; -0.1327005; -0.0574580; 11.1071605; 1.5163773
19.9084948; 6.8444505; 20.9195278; -0.2425117; -0.0521805; 11.3757098; 1.5526024
21.8993443; 7.4222291; 22.8309156; -0.3437345; -0.0496264; 11.6442590; 1.5897387
23.8901938; 8.1764602; 24.6525063; -0.4415145; -0.0495735; 11.9129605; 1.6494927
25.8810433; 9.2113945; 26.5809507; -0.5410791; -0.0427295; 12.1855001; 1.6868023
27.8718928; 10.2898542; 28.2164529; -0.6258160; -0.0460184; 12.4580396; 1.7923052
29.8627422; 11.6216210; 29.8569925; -0.7454027; -0.0646625; 12.7412390; 2.1065087
31.8535917; 12.8094729; 31.0713643; -0.6889556; 0.4034433; 13.0662410; 3.2227365
33.8444412; 13.8579022; 32.2874978; -0.8204097; -0.1113123; 13.5483808; 2.9407243
35.8352907; 15.5963416; 33.6164927; -0.9979752; -0.0607395; 13.9738220; 3.2597710
37.8261402; 17.2784354; 34.5873459; -1.0861972; -0.0312933; 14.4307701; 3.4173084
39.8169897; 19.0431146; 35.4580198; -1.1352915; -0.0206194; 14.8947581; 3.5254456
41.8078391; 20.9944164; 36.3181398; -1.1747780; -0.0172353; 15.3587461; 4.0616131
43.7986886; 22.9588350; 37.0986223; -1.2093448; -0.0138553; 15.8764985; 4.6828585
45.7895381; 24.8593261; 37.7917438; -1.2305285; -0.0070622; 16.4532348; 4.8499353
47.7803876; 26.7400495; 38.4475979; -1.2376302; 0.0000525; 17.0299712; 5.0170122
49.7712371; 28.5757989; 39.0881038; -1.2299631; 0.0080857; 17.6067076; 4.9023703
