# 96bbe9df-c9b6-44f2-abbb-8fbd1770cfa5
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -38.1024141; 10.1790986; -1.6503465; 0.0012407; 5.4860622; 0.0272462
0.4990603; -37.6048752; 10.1401632; -1.6462964; 0.0149797; 5.4885402; 0.0224818
0.9981207; -37.1071333; 10.1039192; -1.6415998; 0.0038567; 5.4905840; 0.0185506
1.4971810; -36.6092684; 10.0694027; -1.6378077; 0.0113073; 5.4922699; 0.0153068
1.9962414; -36.1112861; 10.0366158; -1.6368276; -0.0073614; 5.4936606; 0.0126302
2.4953017; -35.6133331; 10.0033888; -1.6367818; 0.0075465; 5.4948079; 0.0104216
2.9943620; -35.1153440; 9.9707076; -1.6373088; -0.0096717; 5.4957543; 0.0085993
3.4934224; -34.6174552; 9.9365334; -1.6409445; -0.0048756; 5.4965351; 0.0070956
3.9924827; -34.1196536; 9.9011130; -1.6423849; -0.0008960; 5.4971793; 0.0058548
4.4915431; -33.6219304; 9.8646111; -1.6470268; -0.0177534; 5.4977108; 0.0048310
4.9906034; -33.1244513; 9.8249236; -1.6527147; -0.0049725; 5.4981494; 0.0039862
5.4896637; -32.6271192; 9.7834300; -1.6554445; -0.0059963; 5.4985112; 0.0032892
5.9887241; -32.1299162; 9.7404171; -1.6588888; -0.0078077; 5.4988097; 0.0027140
6.4877844; -31.6328743; 9.6955813; -1.6625470; -0.0068473; 5.4990560; 0.0022395
6.9868448; -31.1359762; 9.6491757; -1.6649461; -0.0027616; 5.4992593; 0.0018479
7.4859051; -30.6391329; 9.6021850; -1.6647005; 0.0037529; 5.4994270; 0.0015247
7.9849654; -30.1422232; 9.5559058; -1.6625260; 0.0049474; 5.4995653; 0.0012581
8.4840258; -29.6452223; 9.5106136; -1.6612148; 0.0002946; 5.4996795; 0.0010381
8.9830861; -29.1481523; 9.4660893; -1.6580290; 0.0125106; 5.4997737; 0.0008566
9.4821465; -28.6508874; 9.4238000; -1.6539798; 0.0036824; 5.4998514; 0.0007068
