# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.12353; 2931.5; -0.0; 2216.4
10.0; 0.593; 0.10549; 2913.6; -0.0; 2233.8
20.0; 1.330; 0.07492; 3805.3; -0.0; 1966.1
30.0; 1.952; 0.06188; 4094.8; -0.0; 1872.2
40.0; 2.499; 0.07159; 3035.1; -0.0; 2245.2
50.0; 3.015; 0.08301; 2346.4; -0.0; 2442.3
60.0; 3.524; 0.08527; 1693.6; -0.0; 2478.6
70.0; 4.050; 0.08440; 1334.4; -0.0; 2494.3
80.0; 4.525; 0.08326; 2046.8; -0.0; 2443.2
90.0; 4.912; 0.08162; 2485.9; -0.0; 2431.6
100.0; 5.361; 0.07290; 2547.3; -0.0; 2420.4
110.0; 5.851; 0.05469; 3363.4; -0.0; 2190.9
120.0; 6.310; 0.03396; 4977.9; -0.0; 1599.4
130.0; 6.728; 0.02150; 6033.0; -0.0; 1135.2
140.0; 7.110; 0.01794; 4.9; -2480.3; 1249.3
150.0; 7.488; 0.01388; 0.0; -9123.8; 1079.5
160.0; 7.914; 0.02684; 2.3; -8706.8; 1149.2
170.0; 8.436; 0.07981; 5.7; -3504.5; 2265.7
180.0; 9.084; 0.10131; 0.0; -2933.8; 2376.4
190.0; 9.784; 0.12337; 0.0; -3082.3; 2303.3
200.0; 10.368; 0.14195; 0.0; -0.0; 2355.0
210.0; 10.905; 0.13663; 3583.8; -0.0; 2034.7
220.0; 11.473; 0.13620; 3546.2; -0.0; 1999.9
230.0; 12.121; 0.07348; 4805.5; -0.0; 1633.8
240.0; 12.819; 0.01034; 7000.0; -0.0; 454.6
250.0; 13.435; -0.03254; 5890.1; -0.0; -1083.9
260.0; 13.906; -0.06422; 3141.7; -0.0; -2226.8
270.0; 14.243; -0.06791; 2604.6; -0.0; -2393.1
280.0; 14.581; -0.05673; 3213.1; -0.0; -2236.1
290.0; 14.989; -0.03458; 3609.0; -0.1; -1654.9
300.0; 15.384; 0.00862; 1.2; -7483.1; 241.0
310.0; 15.791; 0.04134; 3.0; -6710.5; 1603.9
320.0; 16.353; 0.07949; 6.0; -3310.5; 2330.9
330.0; 16.914; 0.09558; 0.0; -2552.3; 2423.1
340.0; 17.279; 0.10966; 0.0; -2041.6; 2433.6
350.0; 17.780; 0.11264; 447.9; -0.0; 2449.6
360.0; 18.371; 0.11226; 3382.4; -0.0; 2113.2
