# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 13.83; 0.00444; 0.41619; 6.00202; -0.31901
10.0; 0.593; 14.91; 0.00643; 0.53757; 1.97701; -0.56109
20.0; 1.330; 16.23; -0.00221; 0.49280; -3.53361; -0.40168
30.0; 1.952; 17.86; -0.00433; 0.38310; -6.62392; -0.18536
40.0; 2.499; 19.42; -0.00698; 0.34440; -7.65030; -0.01347
50.0; 3.015; 20.35; -0.01665; 0.39980; -7.02065; 0.16029
60.0; 3.524; 20.88; -0.02721; 0.41811; -4.64026; 0.34102
70.0; 4.050; 21.09; -0.03144; 0.41371; -0.59165; 0.44192
80.0; 4.525; 21.13; -0.03352; 0.41678; 2.89112; 0.25784
90.0; 4.912; 21.39; -0.02852; 0.39235; 3.09264; -0.14845
100.0; 5.361; 21.88; -0.02739; 0.39709; 0.09900; -0.34883
110.0; 5.851; 22.45; -0.02813; 0.38190; -3.69301; -0.28610
120.0; 6.310; 23.35; -0.02077; 0.33135; -6.31743; -0.16800
130.0; 6.728; 24.80; -0.01199; 0.22583; -7.64947; -0.06632
140.0; 7.110; 26.48; -0.00827; 0.14969; -7.96040; 0.02116
150.0; 7.488; 25.46; -0.01194; 0.17249; -7.41039; 0.11073
160.0; 7.914; 21.99; -0.01191; 0.15270; -6.04819; 0.18103
170.0; 8.436; 17.95; -0.00812; 0.22090; -3.87665; 0.25885
180.0; 9.084; 15.59; -0.02005; 0.52597; -0.37343; 0.42384
190.0; 9.784; 13.26; -0.02997; 0.62093; 3.89832; 0.44694
200.0; 10.368; 11.17; -0.04225; 0.75816; 6.16740; 0.23658
210.0; 10.905; 10.54; -0.05358; 0.83396; 6.57575; 0.01280
220.0; 11.473; 11.67; 0.01841; 0.44325; 5.79039; -0.22184
230.0; 12.121; 13.26; 0.02206; 0.55104; 3.47343; -0.34926
240.0; 12.819; 15.81; 0.00296; 0.29159; -0.10216; -0.35653
250.0; 13.435; 19.20; -0.00300; -0.00153; -4.02131; -0.36153
260.0; 13.906; 21.30; 0.00247; -0.21433; -7.21354; -0.28008
270.0; 14.243; 21.95; 0.01827; -0.39089; -8.45904; -0.05210
280.0; 14.581; 22.38; 0.02674; -0.38954; -7.83587; 0.12057
290.0; 14.989; 23.12; 0.02204; -0.33685; -6.50483; 0.09229
300.0; 15.384; 24.04; 0.01287; -0.23642; -5.55183; 0.11560
310.0; 15.791; 21.31; -0.00014; 0.09300; -3.44180; 0.34708
320.0; 16.353; 17.87; -0.01190; 0.33892; 1.57227; 0.57116
330.0; 16.914; 15.90; -0.02420; 0.52473; 6.51859; 0.45155
340.0; 17.279; 14.80; -0.02948; 0.58828; 7.70327; 0.03320
350.0; 17.780; 13.44; -0.04487; 0.68782; 7.03984; -0.04239
360.0; 18.371; 12.97; -0.05857; 0.67782; 6.79844; 0.03557
370.0; 18.837; 13.83; 0.00444; 0.41619; 6.00202; -0.31901
